Ruolo,Calciatore,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,FantaVoto
P,Musso,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Zappacosta,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,Djimsiti,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Bakker,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Godfrey,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Ruggeri,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,8.0
D,Hien,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,Palestra,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
C,De Roon,6.5,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,6.0
C,Pasalic,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,8.0
C,Brescianini,8.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0
C,Ederson D.s.,6.5,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,6.0
C,Sulemana I.,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
C,Cassa,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
A,De Ketelaere,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
A,Retegui,7.5,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,13.5
P,Skorupski,6.5,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,8.5
D,Lykogiannis,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,Miranda J.,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
D,Erlic,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0
D,Posch,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Beukema,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Freuler,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
C,Orsolini,7.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,10.5
C,Ndoye,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Aebischer,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Moro N.,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Fabbian,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
A,Odgaard,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
A,Cambiaghi,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
A,Castro S.,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
A,Dallinga,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
P,Scuffet,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,Luperto,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Augello,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
