Ruolo,Calciatore,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,FantaVoto
P,Carnesecchi,6.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0
D,Zappacosta,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.5
D,Toloi,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Djimsiti,4.5,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3.5
D,Bellanova,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Ruggeri,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Palestra,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
C,De Roon,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4.5
C,Pasalic,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
C,Brescianini,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
C,Samardzic,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
C,Ederson D.s.,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
A,De Ketelaere,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
A,Retegui,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4.5
P,Skorupski,6.5,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,De Silvestri,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
D,Miranda J.,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Lucumi',6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Posch,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Beukema,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,7.5
C,Freuler,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Orsolini,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
C,Urbanski,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
C,Aebischer,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Moro N.,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
C,Fabbian,7.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0
