Calciatore,Probabilità
Caprile,0.9
Di Lorenzo,0.9
Rrahmani,0.9
Buongiorno,0.9
Olivera,0.6
Zambo Anguissa,0.9
Lobotka,0.9
McTominay,0.9
Politano,0.8
Lukaku,0.9
Kvaratskhelia,0.9
Contini,0.05
Juan Jesus,0.3
Mazzocchi,0.55
Marin R.,0.25
Spinazzola,0.6
Gilmour,0.4
Zerbin,0.2
Folorunsho,0.35
Neres,0.6
Simeone,0.5
Ngonge,0.25
Raspadori,0.5
Audero,0.9
Van Der Brempt,0.9
Kempf,0.9
Dossena,0.9
Moreno Alb.,0.9
Sergi Roberto,0.9
Perrone,0.9
Strefezza,0.9
Paz N.,0.9
Fadera,0.9
Cutrone,0.9
Reina,0.05
Vigorito,0.01
Iovine,0.4
Sala M.,0.25
Goldaniga,0.4
Engelhardt,0.3
Baselli,0.5
Mazzitelli,0.6
Braunoder,0.3
Verdi,0.5
Da Cunha,0.55
Jasim,0.35
Gabrielloni,0.25
Belotti,0.6
Montipo',0.9
Tchatchoua,0.9
Daniliuc,0.85
Coppola D.,0.9
Frese,0.9
Duda,0.6
Belahyane,0.9
Rocha Livramento,0.6
Kastanos,0.9
Lazovic,0.9
Tengstedt,0.6
Perilli,0.05
Berardi A.,0.01
Okou,0.2
Faraoni,0.3
Ghilardi,0.1
Magnani,0.6
Bradaric,0.5
Dani Silva,0.6
Cisse' A.,0.3
Sarr A.,0.5
Mosquera,0.6
Lambourde,0.4
Joronen,0.9
Idzes,0.85
Svoboda,0.9
Candela,0.9
Zampano,0.9
Nicolussi Caviglia,0.9
Ellertsson,0.85
Haps,0.8
Oristanio,0.85
Busio,0.9
Pohjanpalo,0.9
Stankovic F.,0.05
Grandi,0.01
Bertinato,0.01
Sverko,0.55
Schingtienne,0.4
Sagrado,0.25
Carboni F.,0.3
Altare,0.5
Andersen M.k.,0.6
Doumbia I.,0.5
Crnigoj,0.6
El Haddad,0.3
Yeboah J.,0.4
Gytkjaer,0.5
Raimondo,0.3
Okoye,0.9
Giannetti L.,0.9
Bijol,0.9
Kabasele,0.9
Ehizibue,0.9
Lovric,0.9
Karlstrom,0.9
Ekkelenkamp,0.55
Kamara H.,0.8
Brenner,0.85
Lucca,0.9
Sava,0.05
Padelli,0.01
Ebosse,0.3
Abankwah,0.2
Palma,0.1
Toure' I.s.,0.5
Zemura,0.55
Rui Modesto,0.3
Atta,0.35
Zarraga,0.6
Bravo,0.5
Davis K.,0.6
Pizarro,0.15
Falcone,0.9
Guilbert,0.9
Baschirotto,0.9
Gaspar K.,0.9
Gallo,0.9
Tete Morente,0.85
Pierret,0.65
Ramadani,0.9
Dorgu,0.9
Rebic,0.6
Krstovic,0.9
Fruchtl,0.05
Samooja,0.01
Borbei,0.01
Jean,0.3
Pelmard,0.2
Coulibaly L.,0.6
Rafia,0.5
Hasa,0.2
Oudin,0.6
Marchwinski,0.5
McJannet,0.15
