Ruolo,Calciatore,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,FantaVoto
P,Carnesecchi,6.5,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.5
D,Zappacosta,7.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0
D,Cuadrado,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Djimsiti,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Kolasinac,5.5,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,4.5
D,Bellanova,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
D,Kossounou,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
C,De Roon,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4.5
C,Pasalic,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Brescianini,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
C,Samardzic,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
C,Ederson D.s.,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
A,Lookman,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,9.0
A,De Ketelaere,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
A,Retegui,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
A,Vlahovic V.,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
P,Ravaglia F.,5.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0
D,De Silvestri,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Lykogiannis,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,7.5
D,Casale,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Lucumi',6.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5.5
D,Posch,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
D,Beukema,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Freuler,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,7.5
C,Urbanski,7.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0
C,Ndoye,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0
C,Aebischer,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Moro N.,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
C,Iling Junior,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
A,Odgaard,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
A,Castro S.,7.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,9.5
P,Scuffet,5.5,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.5
D,Luperto,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Mina,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,Augello,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
D,Zortea,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
D,Zappa,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
D,Azzi,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Viola,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Deiola,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Gaetano,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Marin,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Makoumbou,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.5
A,Pavoletti,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4.5
A,Lapadula,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
A,Piccoli,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5
A,Luvumbo,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0
P,Audero,6.5,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.5
D,Goldaniga,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Sergi Roberto,7.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,7.5
D,Sala M.,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
D,Moreno Alb.,6.5,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,6.0
D,Dossena,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Kempf,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,Van Der Brempt,6.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5.5
C,Mazzitelli,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Strefezza,7.5,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.5
C,Perrone,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
C,Engelhardt,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
C,Fadera,7.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0
C,Paz N.,7.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,8.5
A,Cutrone,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
A,Gabrielloni,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
P,Vasquez D.,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,De Sciglio,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
D,Pezzella Giu.,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0
D,Ismajli,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
D,Viti,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5
D,Cacace,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0
