Nome,Punteggio,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Presenze 2023-2024,Fanta Media 2023-2024,FM su tot gare 2023-2024,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
SOULE' MATIAS,71,7.12,6.57,nd,34,7.12,6.54,21/30,8/11,4/7,ATT,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Giovane talento']",60,40,False,True,False,Roma,UP,34
MOSQUERA DANIEL,71,nd,nd,nd,26,0.00,0.00,11/20,3/5,0/3,ATT,"['Outsider', 'Panchinaro', 'Goleador']",40,60,False,True,False,Verona,STABLE,0
OKAFOR NOAH,71,7.04,nd,nd,23,7.04,4.38,21/30,4/7,3/5,ATT,"['Outsider', 'Panchinaro', 'Goleador', 'Piazzati']",60,40,False,False,False,Milan,STABLE,23
KRSTOVIC NIKOLA,70,6.32,nd,nd,31,6.32,5.30,21/30,8/11,0/3,ATT,"['Outsider', 'Titolare', 'Goleador', 'Rigorista']",40,60,False,False,False,Lecce,STABLE,31
ARNAUTOVIC MARKO,70,6.61,7.74,7.50,23,6.61,4.11,11/20,4/7,0/3,ATT,"['Panchinaro', 'Buona Media', 'Goleador', 'Rigorista', 'Falloso']",40,60,False,False,True,Inter,DOWN,23
LIVRAMENTO ROCHA DAILON,70,nd,nd,nd,35,8.01,7.58,21/30,4/7,4/7,ATT,"['Outsider', 'Titolare', 'Goleador', 'Piazzati', 'Giovane talento']",40,60,False,True,False,Verona,STABLE,0
MOTA CARVALHO DANY,69,6.44,6.64,nd,31,6.44,5.40,21/30,4/7,0/3,ATT,"['Titolare', 'Buona Media']",40,40,False,False,False,Monza,DOWN,31
LUVUMBO ZITO,69,6.76,nd,nd,29,6.76,5.30,11/20,3/5,3/5,ATT,"['Titolare', 'Giovane talento']",40,60,False,False,False,Cagliari,STABLE,29
NGONGE CYRIL,67,6.87,6.73,nd,27,6.87,5.01,11/20,8/11,3/5,ATT,"['Panchinaro', 'Buona Media', 'Goleador']",60,80,True,False,False,Napoli,UP,27
EL SHAARAWY STEPHAN,68,6.41,7.15,6.31,28,6.41,4.85,11/20,3/5,3/5,ATT,"['Panchinaro', 'Assistman']",60,60,True,False,False,Roma,DOWN,28
