Nome,Punteggio,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Presenze 2023-2024,Fanta Media 2023-2024,FM su tot gare 2023-2024,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
BOER PIETRO,48,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Roma,STABLE,0
CHICHIZOLA LEANDRO,41,nd,nd,nd,37,0.00,0.00,21/30,0,0,POR,['Panchinaro'],40,60,False,False,False,Parma,STABLE,0
RYAN MATHEW,48,nd,nd,nd,29,0.00,0.00,0/10,0,0,POR,['Panchinaro'],40,60,False,True,False,Roma,STABLE,0
FURLANETTO ALESSIO,48,nd,nd,nd,21,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Lazio,STABLE,0
JORONEN JESSE,47,nd,nd,nd,29,0.00,0.00,30+,0,0,POR,['Titolare'],40,60,False,False,False,Venezia,STABLE,0
CRAGNO ALESSIO,45,3.25,2.00,4.60,2,3.25,0.18,0/10,0,0,POR,"['Panchinaro', 'Buona Media']",60,40,False,False,True,Monza,UP,2
MARTINELLI TOMMASO,43,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Fiorentina,STABLE,0
SOMMARIVA DANIELE,42,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Genoa,STABLE,0
SHERRI ALAN,42,nd,nd,nd,34,4.00,3.68,0/10,0,0,POR,['Panchinaro'],40,60,False,True,False,Cagliari,STABLE,0
BRANCOLINI FEDERICO,41,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Empoli,STABLE,0
CONTINI NIKITA,41,6.00,nd,nd,1,6.00,0.16,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Napoli,STABLE,1
CORVI EDOARDO,41,nd,nd,nd,2,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Parma,STABLE,0
CIOCCI GIUSEPPE,41,nd,nd,nd,7,4.00,0.76,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Cagliari,STABLE,0
BERTINATO BRUNO,40,nd,nd,nd,9,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Venezia,STABLE,0
SORRENTINO ALESSANDRO,40,nd,nd,nd,7,0.00,0.00,11/20,40/50,0,POR,['Panchinaro'],40,60,False,False,False,Monza,STABLE,0
CHRISTENSEN OLIVER,40,3.25,nd,nd,4,3.25,0.35,21/30,40/50,0,POR,['Panchinaro'],60,60,False,False,False,Fiorentina,STABLE,4
FRUCHTL CHRISTIAN,39,nd,nd,nd,29,4.00,3.14,0/10,0,0,POR,['Panchinaro'],40,60,False,True,False,Lecce,STABLE,0
ROSSI FRANCESCO,39,nd,6.00,5.00,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,80,False,False,False,Atalanta,STABLE,0
BORBEI ALEXANDRU,38,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Lecce,STABLE,0
DONNARUMMA ANTONIO,38,nd,nd,nd,0,0.00,0.00,0/10,0/1,0/1,POR,['Panchinaro'],20,80,False,False,False,Torino,STABLE,0
RAVAGLIA FEDERICO,36,nd,3.56,5.00,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,20,False,False,False,Bologna,STABLE,0
VIGORITO MAURO,35,nd,nd,nd,1,0.00,0.00,0/10,0,0,POR,['Panchinaro'],40,80,False,False,False,Como,STABLE,0
PINSOGLIO CARLO,34,nd,nd,5.50,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Juventus,STABLE,0
LEALI NICOLA,33,5.50,nd,nd,2,5.50,0.30,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Genoa,STABLE,2
BAGNOLINI NICOLA,32,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Bologna,STABLE,0
PERISAN SAMUEL,32,3.00,4.93,nd,1,3.00,0.08,0/10,0,0,POR,['Panchinaro'],20,60,False,False,True,Empoli,DOWN,1
REINA PEPE,31,nd,nd,4.00,0,0.00,0.00,11/20,30/40,0,POR,['Panchinaro'],40,40,False,True,False,Como,STABLE,0
BERARDI ALESSANDRO,29,nd,nd,3.50,0,0.00,0.00,0/10,0/1,0,POR,['Panchinaro'],20,60,False,False,False,Verona,STABLE,0
CHIESA MATTIA,26,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Verona,STABLE,0
PADELLI DANIELE,25,nd,nd,3.50,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,80,False,False,False,Udinese,STABLE,0
TORRIANI LORENZO,47,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Milan,STABLE,0
DIMARCO FEDERICO,87,7.25,6.70,6.35,28,7.25,5.49,21/30,3/5,3/5,DIF,"['Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Piazzati']",60,60,True,False,False,Inter,UP,28
HERNANDEZ THEO,86,6.35,6.41,6.73,30,6.35,5.15,21/30,4/7,3/5,DIF,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista']",60,60,False,False,False,Milan,DOWN,30
AUGUSTO CARLOS,86,6.21,6.76,nd,34,6.21,5.71,21/30,3/5,4/7,DIF,"['Panchinaro', 'Buona Media', 'Goleador', 'Assistman', 'Piazzati', 'Giovane talento']",60,60,False,False,False,Inter,DOWN,34
DI LORENZO GIOVANNI,83,6.24,6.58,6.36,34,6.24,5.73,21/30,3/5,3/5,DIF,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador']",60,80,False,False,False,Napoli,DOWN,34
MARUSIC ADAM,83,5.74,5.92,5.65,35,5.74,5.43,21/30,3/5,3/5,DIF,"['Titolare', 'Buona Media', 'Assistman']",40,60,True,False,False,Lazio,DOWN,35
CAMBIASO ANDREA,83,6.12,6.03,6.12,33,6.12,5.46,21/30,0/3,0/2,DIF,"['Titolare', 'Buona Media', 'Giovane talento']",60,60,False,False,False,Juventus,UP,33
BREMER GLAISON,82,6.37,6.35,6.64,35,6.37,6.03,21/30,0/3,0/3,DIF,"['Titolare', 'Buona Media']",60,60,False,False,False,Juventus,UP,35
ZAPPACOSTA DAVIDE,75,6.07,6.64,6.27,30,6.07,4.92,21/30,3/5,3/5,DIF,"['Panchinaro', 'Buona Media', 'Assistman']",60,60,False,False,False,Atalanta,DOWN,30
DUMFRIES DENZEL,78,6.57,6.00,6.80,29,6.57,5.15,21/30,3/5,4/7,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60,60,False,False,False,Inter,UP,29
DARMIAN MATTEO,77,6.21,6.19,6.36,31,6.21,5.20,11/20,0/3,3/5,DIF,"['Panchinaro', 'Buona Media', 'Assistman']",40,60,True,False,False,Inter,UP,31
MANCINI GIANLUCA,77,6.21,6.16,5.63,33,6.21,5.54,21/30,0/3,0/2,DIF,"['Titolare', 'Buona Media', 'Falloso']",60,80,False,False,False,Roma,UP,33
MARTINEZ QUARTA LUCAS,74,6.44,5.98,5.75,26,6.44,4.53,11/20,0/2,0/2,DIF,['Titolare'],40,60,False,False,False,Fiorentina,UP,26
BUONGIORNO ALESSANDRO,76,6.57,6.15,5.81,27,6.57,4.79,30+,0/2,0/2,DIF,"['Outsider', 'Titolare', 'Giovane talento']",40,60,True,True,False,Napoli,UP,27
BASTONI ALESSANDRO,75,6.41,6.14,6.31,27,6.41,4.68,21/30,0/3,0/3,DIF,"['Titolare', 'Buona Media', 'Giovane talento']",80,60,False,False,False,Inter,UP,27
DJIMSITI BERAT,75,5.88,5.89,5.88,34,5.88,5.40,21/30,0/3,0/3,DIF,"['Panchinaro', 'Buona Media']",40,60,True,False,False,Atalanta,DOWN,34
BASCHIROTTO FEDERICO,74,5.69,6.23,nd,35,5.69,5.38,0/10,0/2,0,DIF,"['Outsider', 'Titolare']",40,60,False,False,False,Lecce,DOWN,35
DANILO LUIZ DA SILVA,72,6.10,6.46,6.24,26,6.10,4.29,21/30,3/5,0/3,DIF,"['Titolare', 'Buona Media']",80,60,True,False,False,Juventus,DOWN,26
GENDREY VALENTIN,73,6.11,5.85,nd,35,6.11,5.78,0/10,0,0,DIF,['Titolare'],40,60,False,False,False,Lecce,UP,35
RRAHMANI AMIR,73,6.14,6.36,6.59,29,6.14,4.81,21/30,0/3,0/1,DIF,['Panchinaro'],40,60,False,False,False,Napoli,DOWN,29
PAVARD BENJAMIN,72,6.28,nd,nd,20,6.28,3.39,21/30,0/3,3/5,DIF,"['Fuoriclasse', 'Titolare', 'Goleador', 'Falloso']",60,60,False,False,False,Inter,STABLE,20
AUGELLO TOMMASO,72,5.83,6.09,5.95,30,5.83,4.73,11/20,0/3,0/3,DIF,['Titolare'],40,60,False,False,False,Cagliari,DOWN,30
TOMORI FIKAYO,72,6.37,6.09,6.22,23,6.37,3.96,21/30,0/2,0/2,DIF,"['Outsider', 'Titolare', 'Buona Media']",40,60,False,False,False,Milan,UP,23
PONGRACIC MARIN,70,5.79,5.89,nd,34,5.79,5.32,21/30,0/2,0/1,DIF,['Titolare'],60,40,False,True,False,Fiorentina,DOWN,34
HIEN ISAK,72,5.85,5.80,nd,20,5.85,3.16,21/30,0/2,0/2,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",40,60,True,True,False,Atalanta,UP,20
MAZZOCCHI PASQUALE,72,5.64,6.46,5.83,25,5.64,3.81,11/20,0/2,0/3,DIF,"['Titolare', 'Assistman', 'Falloso']",40,60,False,False,False,Napoli,DOWN,25
POSCH STEFAN,72,6.15,6.68,nd,30,6.15,4.99,11/20,3/5,3/5,DIF,['Titolare'],60,60,True,False,False,Bologna,DOWN,30
DE VRIJ STEFAN,72,6.41,5.98,5.67,22,6.41,3.81,21/30,4/7,0/3,DIF,"['Fuoriclasse', 'Panchinaro', 'Buona Media', 'Goleador']",60,60,False,False,True,Inter,UP,22
GALLO ANTONINO,71,6.00,5.65,nd,32,6.00,5.19,0/10,0,0,DIF,['Titolare'],60,40,False,False,False,Lecce,UP,32
BIRINDELLI SAMUELE,71,5.85,5.77,nd,30,5.85,4.74,11/20,0/2,0/3,DIF,"['Titolare', 'Falloso', 'Giovane talento']",40,60,False,False,False,Monza,UP,30
LUPERTO SEBASTIANO,71,6.07,6.01,5.61,36,6.07,5.91,21/30,0/3,0/3,DIF,"['Titolare', 'Buona Media']",60,60,True,True,False,Cagliari,UP,36
BIRAGHI CRISTIANO,71,6.02,6.19,6.14,26,6.02,4.23,21/30,0/3,3/5,DIF,"['Titolare', 'Assistman']",60,60,False,False,False,Fiorentina,DOWN,26
BELLANOVA RAOUL,77,6.38,6.00,5.90,34,6.38,5.86,21/30,3/5,4/7,DIF,"['Outsider', 'Titolare']",60,80,False,True,False,Atalanta,UP,34
ACERBI FRANCESCO,70,6.56,5.97,6.39,27,6.56,4.79,21/30,0/2,0/2,DIF,"['Titolare', 'Buona Media', 'Goleador']",60,60,False,False,False,Inter,UP,27
VALERI EMANUELE,70,5.62,6.31,nd,13,5.62,1.97,21/30,0/3,3/5,DIF,"['Titolare', 'Assistman']",40,60,False,True,False,Parma,DOWN,13
KAYODE MICHAEL,70,6.22,nd,nd,25,6.22,4.20,11/20,0/3,0/3,DIF,"['Outsider', 'Panchinaro', 'Giovane talento']",40,60,False,False,False,Fiorentina,STABLE,25
OLIVERA MATHIAS,70,5.90,6.27,nd,20,5.90,3.19,11/20,0,0,DIF,"['Titolare', 'Assistman']",60,60,False,False,False,Napoli,DOWN,20
LAZARO VALENTINO,68,6.07,6.05,nd,29,6.07,4.76,11/20,0/3,0/2,DIF,['Titolare'],40,60,False,False,False,Torino,UP,29
GATTI FEDERICO,70,6.11,5.81,nd,31,6.11,5.12,0/10,0,0,DIF,['Titolare'],20,20,False,False,False,Juventus,UP,31
FLORENZI ALESSANDRO,72,6.13,5.75,6.45,26,6.13,4.31,11/20,0/3,0/3,DIF,"['Panchinaro', 'Buona Media']",60,40,False,False,True,Milan,UP,26
PARISI FABIANO,70,5.64,6.14,5.85,21,5.64,3.20,21/30,0/3,3/5,DIF,"['Titolare', 'Buona Media', 'Assistman', 'Giovane talento']",40,60,True,False,False,Fiorentina,DOWN,21
GABBIA MATTEO,70,6.30,5.39,5.36,15,6.30,2.55,11/20,0/3,0/1,DIF,['Panchinaro'],60,60,False,False,False,Milan,UP,15
NDICKA EVAN,70,5.92,nd,nd,24,5.92,3.84,21/30,0/3,0/2,DIF,"['Titolare', 'Buona Media', 'Falloso']",60,60,False,False,False,Roma,STABLE,24
ERLIC MARTIN,70,5.80,5.59,6.09,30,5.80,4.70,21/30,0/2,0/1,DIF,"['Titolare', 'Buona Media', 'Goleador']",40,60,False,True,False,Bologna,UP,30
HYSAJ ELSEID,69,5.66,6.05,5.67,19,5.66,2.91,11/20,0/1,0/2,DIF,['Panchinaro'],40,60,False,False,False,Lazio,DOWN,19
RUGGERI MATTEO,69,6.10,5.80,5.75,31,6.10,5.11,11/20,0/3,3/5,DIF,"['Outsider', 'Panchinaro', 'Assistman', 'Giovane talento']",40,60,False,False,False,Atalanta,UP,31
LUCUMI' JHON,69,6.09,5.68,nd,27,6.09,4.44,11/20,0,0,DIF,['Titolare'],40,60,False,False,False,Bologna,UP,27
KARSDORP RICK,69,6.09,5.71,6.00,17,6.09,2.80,11/20,0/3,0/3,DIF,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Roma,UP,17
VOJVODA MERGIM,67,5.92,5.98,6.07,19,5.92,3.04,21/30,0/2,0/2,DIF,"['Titolare', 'Buona Media']",40,60,False,False,False,Torino,DOWN,19
KOLASINAC SEAD,69,6.07,nd,nd,29,6.07,4.76,21/30,3/5,3/5,DIF,['Titolare'],40,40,False,False,True,Atalanta,STABLE,29
PEREZ NEHUEN,68,5.83,6.00,5.65,35,5.83,5.51,21/30,0/1,0/1,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",40,60,False,False,False,Udinese,DOWN,35
RANIERI LUCA,68,5.93,6.19,5.65,23,5.93,3.69,21/30,0/2,0/1,DIF,"['Panchinaro', 'Buona Media', 'Giovane talento']",40,80,False,False,False,Fiorentina,DOWN,23
LAZZARI MANUEL,68,5.91,5.77,6.17,22,5.91,3.51,21/30,0/3,3/5,DIF,"['Titolare', 'Buona Media', 'Assistman']",60,80,False,False,False,Lazio,UP,22
VASQUEZ JOHAN,68,6.17,5.76,5.88,33,6.17,5.50,11/20,0/3,0/2,DIF,"['Panchinaro', 'Falloso']",40,80,False,False,False,Genoa,UP,33
ROMAGNOLI ALESSIO,68,5.83,6.29,6.00,26,5.83,4.10,21/30,0/3,0/2,DIF,"['Titolare', 'Buona Media']",80,60,False,False,False,Lazio,DOWN,26
CASALE NICOLO',68,5.56,6.03,5.76,18,5.56,2.70,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Giovane talento']",40,80,False,False,False,Lazio,DOWN,18
MAGNANI GIANGIACOMO,67,5.89,5.58,5.61,28,5.89,4.46,11/20,0/1,0/1,DIF,['Titolare'],40,40,True,False,False,Verona,UP,28
PAVLOVIC STRAHINJA,67,nd,nd,nd,26,7.00,4.92,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Falloso']",60,40,False,True,False,Milan,STABLE,0
ZAPPA GABRIELE,66,5.90,nd,5.64,35,5.90,5.58,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Assistman', 'Falloso']",40,60,True,False,False,Cagliari,STABLE,35
DORGU PATRICK,66,6.02,nd,nd,27,6.02,4.39,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",40,60,True,False,False,Lecce,STABLE,27
CELIK ZEKI,66,5.80,5.71,nd,10,5.80,1.57,21/30,0/2,0/3,DIF,"['Panchinaro', 'Buona Media', 'Assistman', 'Falloso']",40,60,False,False,False,Roma,UP,10
ANGELINO JOSE ANGEL,66,5.82,nd,nd,14,5.82,2.20,21/30,0/1,3/5,DIF,"['Titolare', 'Assistman']",40,60,False,False,False,Roma,STABLE,14
PATRIC PATRICIO GABARRON,66,6.29,6.09,5.76,19,6.29,3.23,11/20,0/1,0/1,DIF,['Titolare'],40,60,False,False,False,Lazio,UP,19
MARI' VILLAR PABLO,66,5.85,5.97,6.63,31,5.85,4.90,21/30,0/2,0/1,DIF,"['Titolare', 'Buona Media']",40,60,False,False,False,Monza,DOWN,31
BIJOL JAKA,65,6.00,6.03,nd,22,6.00,3.57,21/30,0/3,0/2,DIF,"['Titolare', 'Buona Media', 'Goleador']",40,60,True,False,False,Udinese,DOWN,22
ZORTEA NADIR,65,6.62,6.10,5.96,17,6.62,3.04,21/30,3/5,3/5,DIF,"['Outsider', 'Titolare', 'Goleador']",40,60,False,True,False,Cagliari,UP,17
DOSSENA ALBERTO,65,5.94,nd,nd,34,5.94,5.46,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Goleador', 'Falloso']",40,60,True,True,False,Como,STABLE,34
KAMARA HASSANE,65,6.12,nd,nd,29,6.12,4.80,21/30,0/3,3/5,DIF,"['Titolare', 'Assistman']",40,60,False,False,False,Udinese,STABLE,29
CACACE LIBERATO,64,5.62,5.60,5.75,26,5.62,3.95,11/20,0/2,0/3,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Empoli,UP,26
DODO' DOMILSON,64,5.80,5.98,nd,5,5.80,0.78,11/20,0,3/5,DIF,"['Outsider', 'Titolare']",40,60,False,False,False,Fiorentina,DOWN,5
CABAL JUAN,64,5.71,5.72,nd,17,5.71,2.62,0/10,0/2,0/2,DIF,"['Outsider', 'Panchinaro', 'Giovane talento']",40,60,False,True,False,Juventus,DOWN,17
FRESE MARTIN,64,nd,nd,nd,21,6.47,3.67,21/30,0/3,3/5,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",40,60,False,True,False,Verona,STABLE,0
WEAH TIMOTHY,62,5.87,nd,nd,23,5.87,3.65,21/30,3/5,3/5,CEN,"['Titolare', 'Assistman']",40,60,False,False,False,Juventus,STABLE,23
CALABRIA DAVIDE,66,5.91,6.09,6.38,27,5.91,4.31,21/30,0/3,0/3,DIF,"['Titolare', 'Buona Media', 'Falloso']",60,60,False,False,False,Milan,DOWN,27
SOSA BORNA,64,nd,nd,nd,16,0.00,0.00,21/30,0/3,3/5,DIF,"['Outsider', 'Panchinaro', 'Assistman', 'Piazzati']",40,60,False,True,False,Torino,STABLE,0
SCALVINI GIORGIO,64,6.08,6.03,6.14,31,6.08,5.09,0/10,0/2,0/1,DIF,"['Titolare', 'Giovane talento']",20,80,False,False,True,Atalanta,UP,31
DEL PRATO ENRICO,63,nd,nd,nd,35,0.00,0.00,30+,0/3,3/5,DIF,"['Outsider', 'Titolare', 'Assistman']",60,60,False,False,False,Parma,STABLE,0
MARTIN AARON,63,5.84,nd,nd,19,5.84,3.00,21/30,3/5,3/5,DIF,"['Titolare', 'Goleador', 'Assistman']",60,60,False,False,False,Genoa,STABLE,19
SANDRO ALEX,62,5.83,5.52,5.63,9,5.83,1.42,21/30,3/5,4/7,DIF,"['Panchinaro', 'Buona Media', 'Assistman']",60,60,False,False,False,Juventus,UP,9
ZALEWSKI NICOLA,62,5.76,6.16,5.81,21,5.76,3.27,21/30,3/5,0/3,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Roma,DOWN,21
VARANE RAPHAEL,62,nd,nd,nd,22,0.00,0.00,21/30,0/3,0/3,DIF,"['Fuoriclasse', 'Titolare', 'Buona Media']",40,40,False,True,True,Como,STABLE,0
BEUKEMA SAM,62,6.04,nd,nd,28,6.04,4.57,21/30,0/3,0/2,DIF,"['Titolare', 'Goleador']",40,60,False,False,False,Bologna,STABLE,28
GILA MARIO,61,5.93,5.50,nd,20,5.93,3.21,0/10,0/1,0/1,DIF,['Panchinaro'],20,60,False,False,True,Lazio,UP,20
EHIZIBUE KINGLSLEY,61,5.86,5.93,nd,18,5.86,2.85,11/20,0/2,3/5,DIF,"['Outsider', 'Titolare', 'Assistman']",60,60,False,False,False,Udinese,DOWN,18
JESUS JUAN,61,5.48,6.25,6.07,22,5.48,3.26,11/20,0/1,0/1,DIF,['Panchinaro'],40,60,False,False,False,Napoli,DOWN,22
STOJANOVIC PETAR,61,nd,5.67,5.79,0,0.00,0.00,21/30,0/1,0/2,DIF,['Titolare'],40,60,False,False,False,Empoli,STABLE,0
PEZZELLA GIUSEPPE,61,5.50,5.71,6.00,14,5.50,2.08,11/20,0/1,0/3,DIF,['Panchinaro'],40,60,False,False,False,Empoli,DOWN,14
KRISTENSEN THOMAS,60,5.73,nd,nd,24,5.73,3.72,11/20,0/2,0/1,DIF,['Panchinaro'],40,40,True,False,False,Udinese,STABLE,24
DE WINTER KONI,60,5.73,5.62,nd,28,5.73,4.34,21/30,0/3,0/1,DIF,"['Outsider', 'Titolare']",40,40,False,False,False,Genoa,UP,28
SPINAZZOLA LEONARDO,60,6.30,6.25,6.00,22,6.30,3.75,21/30,0/3,4/7,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60,20,False,True,False,Napoli,UP,22
MASINA ADAM,60,5.81,6.36,nd,13,5.81,2.04,0/10,0/3,0/3,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Torino,DOWN,13
HOLM EMIL,60,6.16,6.17,nd,16,6.16,2.66,21/30,3/5,3/5,DIF,"['Outsider', 'Titolare', 'Falloso', 'Giovane talento']",40,60,False,True,False,Bologna,DOWN,16
THIAW MALICK,60,5.40,5.79,nd,20,5.40,2.92,11/20,0/3,0/1,DIF,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Milan,DOWN,20
TOLOI RAFAEL,60,5.58,6.05,6.05,12,5.58,1.81,21/30,0/3,0/1,DIF,"['Titolare', 'Buona Media']",80,40,False,False,False,Atalanta,DOWN,12
COCO SAUL,60,nd,nd,nd,30,0.00,0.00,21/30,0/3,0/2,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",60,60,False,True,False,Torino,STABLE,0
BUCHANAN TAJON,59,nd,nd,nd,0,0.00,0.00,0/10,0/3,0/3,DIF,"['Panchinaro', 'Assistman']",40,60,False,False,True,Inter,STABLE,0
SCHUURS PERR,59,6.33,6.19,nd,9,6.33,1.54,21/30,0/2,0/2,DIF,"['Titolare', 'Buona Media']",60,40,False,False,True,Torino,UP,9
MARIN RAFA,59,nd,nd,nd,33,0.00,0.00,21/30,0/3,0/2,DIF,"['Titolare', 'Giovane talento']",40,40,False,True,False,Napoli,STABLE,0
JIMENEZ ALEX,59,nd,nd,nd,3,4.00,0.32,0/10,0/3,0/3,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Milan,STABLE,0
CALDIROLA LUCA,59,5.77,6.03,nd,28,5.77,4.37,21/30,0/1,0/1,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Monza,DOWN,28
DAWIDOWICZ PAWEL,58,5.62,5.80,5.67,25,5.62,3.80,21/30,0/2,0/2,DIF,['Titolare'],40,60,False,False,False,Verona,DOWN,25
PEREIRA PEDRO,58,5.75,nd,nd,18,5.75,2.80,21/30,0/3,3/5,DIF,"['Panchinaro', 'Assistman']",40,60,False,False,False,Monza,STABLE,18
WALUKIEWICZ SEBASTIAN,58,5.62,5.89,5.58,25,5.62,3.80,0/10,0/1,0/1,DIF,"['Panchinaro', 'Falloso']",40,40,False,False,False,Empoli,DOWN,25
SMALLING CHRIS,58,5.83,6.52,6.54,6,5.83,0.95,21/30,0/3,0/2,DIF,"['Panchinaro', 'Buona Media']",60,40,False,False,False,Roma,DOWN,6
PELLEGRINI LUCA,58,5.77,5.83,5.97,15,5.77,2.34,11/20,0/3,0/3,DIF,"['Panchinaro', 'Buona Media']",60,60,False,False,False,Lazio,DOWN,15
SALA MARCO,57,nd,nd,nd,29,0.00,0.00,0/10,0,0,DIF,['Titolare'],20,60,False,False,False,Como,STABLE,0
TCHATCHOUA JACKSON,57,5.75,nd,nd,24,5.75,3.73,11/20,0/3,0/3,DIF,"['Titolare', 'Giovane talento']",40,40,False,False,False,Verona,STABLE,24
KALULU PIERRE,57,5.83,5.78,6.50,6,5.83,0.95,11/20,0/1,0/1,DIF,['Panchinaro'],40,60,False,True,False,Juventus,UP,6
DJALO TIAGO,57,nd,nd,nd,0,0.00,0.00,11/20,0/3,0/3,DIF,"['Panchinaro', 'Goleador', 'Falloso']",60,80,False,False,False,Juventus,STABLE,0
KOVACIK PETER,57,nd,nd,nd,22,0.00,0.00,21/30,0/3,3/5,DIF,"['Titolare', 'Assistman']",40,60,False,True,False,Como,STABLE,0
IDZES JAY,57,nd,nd,nd,25,0.00,0.00,30+,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Goleador']",60,40,False,False,False,Venezia,STABLE,0
DAHL SAMUEL,57,nd,nd,nd,15,0.00,0.00,11/20,0/3,0/3,DIF,"['Panchinaro', 'Assistman', 'Giovane talento']",40,60,False,True,False,Roma,STABLE,0
BISSECK YANN AUREL,57,7.06,nd,nd,9,7.06,1.72,30+,3/5,0/2,DIF,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",60,60,False,False,False,Inter,STABLE,9
BAKKER MITCHEL,57,6.00,nd,nd,9,6.00,1.46,21/30,0/3,3/5,DIF,"['Panchinaro', 'Falloso']",60,60,False,False,False,Atalanta,STABLE,9
MINA YERRY,57,6.39,nd,nd,14,6.39,2.42,11/20,0/3,0/3,DIF,"['Titolare', 'Falloso']",40,40,True,False,False,Cagliari,STABLE,14
SABELLI STEFANO,56,5.87,nd,5.50,30,5.87,4.76,21/30,0/3,3/5,DIF,"['Panchinaro', 'Buona Media', 'Assistman', 'Falloso']",40,60,True,False,False,Genoa,STABLE,30
IZZO ARMANDO,56,5.58,5.97,5.63,18,5.58,2.71,21/30,0/3,0/3,DIF,"['Titolare', 'Buona Media', 'Falloso']",60,80,False,False,False,Monza,DOWN,18
RUGANI DANIELE,56,6.46,6.00,5.88,13,6.46,2.27,11/20,0/2,0/2,DIF,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Juventus,UP,13
GODFREY BEN,56,nd,nd,nd,15,0.00,0.00,11/20,0/3,0/3,DIF,['Panchinaro'],40,60,False,True,False,Atalanta,STABLE,0
AZZI PAULO,56,5.82,nd,nd,22,5.82,3.46,21/30,0/3,0/3,DIF,"['Panchinaro', 'Falloso']",40,60,False,False,False,Cagliari,STABLE,22
VOGLIACCO ALESSANDRO,56,5.93,nd,nd,14,5.93,2.24,11/20,0,0,DIF,"['Panchinaro', 'Falloso']",40,60,True,False,False,Genoa,STABLE,14
RUI MARIO,56,5.72,6.25,6.06,18,5.72,2.78,21/30,0/2,0/3,DIF,"['Panchinaro', 'Buona Media', 'Piazzati']",60,60,False,False,False,Napoli,DOWN,18
ZANOLI ALESSANDRO,55,5.75,6.33,5.75,16,5.75,2.49,21/30,0/2,0/3,DIF,"['Outsider', 'Titolare', 'Assistman']",40,80,False,True,False,Genoa,DOWN,16
LYKOGIANNIS CHARALAMPOS,55,6.38,6.21,5.78,17,6.38,2.93,21/30,3/5,0/3,DIF,"['Titolare', 'Assistman', 'Piazzati']",60,60,False,False,False,Bologna,UP,17
