Ruolo,Calciatore,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
D,Lazzari,5.5,0,0,0,0,0,0,0,0,0
D,Tavares N.,7.5,0,0,0,0,0,0,0,0,2
C,Zaccagni,6,0,0,0,0,0,0,1,0,0
C,Guendouzi,6,0,0,0,0,0,0,1,0,0
C,Rovella,6.5,0,0,0,0,0,0,1,0,0
C,Tchaouna,5,0,0,0,0,0,0,0,0,0
C,Dele-Bashiru,6,0,0,0,0,0,0,0,0,0
A,Dia,7,1,0,0,0,0,0,0,0,0
A,Castellanos,7,1,0,0,0,0,0,0,0,0
A,Isaksen,6.5,0,0,0,0,0,0,0,0,0
A,Noslin,6,0,0,0,0,0,0,0,0,0
P,Falcone,7,0,0,0,0,0,0,1,0,0
D,Gallo,6.5,0,0,0,0,0,0,0,0,0
D,Guilbert,6.5,0,0,0,0,0,0,0,0,0
D,Baschirotto,6.5,0,0,0,0,0,0,0,0,0
D,Dorgu,4.5,0,0,0,0,0,0,0,1,0
D,Gaspar K.,7.5,0,0,0,0,0,0,0,0,1
D,Jean,6,0,0,0,0,0,0,0,0,0
C,Coulibaly L.,6,0,0,0,0,0,0,0,0,0
C,Oudin,6.5,0,0,0,0,0,0,0,0,0
C,Ramadani,7,0,0,0,0,0,0,0,0,0
C,Pierret,6.5,0,0,0,0,0,0,0,0,0
C,Tete Morente,6,0,0,0,0,0,0,0,0,0
A,Rebic,6,0,0,0,0,0,0,0,0,0
A,Banda,6.5,0,0,0,0,0,0,0,0,0
A,Krstovic,7,1,0,0,0,0,0,0,0,0
A,Pierotti,5.5,0,0,0,0,0,0,0,0,0
P,Maignan,6.5,0,2,0,0,0,0,0,0,0
D,Hernandez T.,6.5,0,0,0,0,0,0,0,0,0
D,Tomori,6,0,0,0,0,0,0,0,0,0
D,Emerson Royal,5,0,0,0,0,0,0,0,0,0
D,Pavlovic,6.5,1,0,0,0,0,0,0,0,0
D,Terracciano F.,5,0,0,0,0,0,0,1,0,0
C,Pulisic,6.5,0,0,0,0,0,0,0,0,1
C,Loftus-Cheek,6,0,0,0,0,0,0,0,0,0
C,Fofana Y.,5.5,0,0,0,0,0,0,1,0,0
C,Chukwueze,5.5,0,0,0,0,0,0,0,0,0
C,Musah,6,0,0,0,0,0,0,0,0,0
C,Reijnders,5.5,0,0,0,0,0,0,0,0,0
A,Abraham,6.5,0,0,0,0,0,0,0,0,1
A,Leao,7,1,0,0,0,0,0,0,0,0
A,Okafor,6,0,0,0,0,0,0,0,0,0
P,Meret,6.5,0,1,0,0,0,0,0,0,0
D,Spinazzola,6.5,0,0,0,0,0,0,0,0,1
D,Buongiorno,6,0,0,0,0,0,0,0,0,0
D,Di Lorenzo,5.5,0,0,0,0,0,0,0,0,0
D,Rrahmani,6,0,0,0,0,0,0,0,0,0
D,Mazzocchi,6,0,0,0,0,0,0,0,0,0
D,Olivera,6,0,0,0,0,0,0,0,0,0
C,Politano,5.5,0,0,0,0,0,0,0,0,0
C,Zambo Anguissa,6.5,1,0,0,0,0,0,1,0,0
C,Lobotka,6,0,0,0,0,0,0,1,0,0
C,Neres,7,0,0,0,0,0,0,0,0,1
A,Simeone,5.5,0,0,0,0,0,0,0,0,0
A,Lukaku,7,1,0,0,0,0,0,0,0,0
A,Raspadori,5,0,0,0,0,0,0,0,0,0
A,Kvaratskhelia,6,0,0,0,0,0,0,0,0,0
P,Suzuki,5.5,0,0,0,0,0,0,0,1,0
D,Osorio,5.5,0,0,0,0,0,0,0,0,0
D,Balogh,6.5,0,0,0,0,0,0,0,0,0
D,Valeri,6,0,0,0,0,0,0,0,0,0
D,Circati,6,0,0,0,0,0,0,0,0,0
D,Delprato,6.5,0,2,0,0,0,0,1,0,0
D,Coulibaly W.,6,0,0,0,0,0,0,0,0,0
C,Sohm,6.5,0,0,0,0,0,0,0,0,0
C,Man,6,0,0,0,0,0,0,0,0,0
C,Bernabe',7,0,0,0,0,0,0,0,0,0
A,Mihaila,6,0,0,0,0,0,0,1,0,0
A,Cancellieri,5.5,0,0,0,0,0,0,0,0,0
A,Almqvist,5.5,0,0,0,0,0,0,0,0,0
A,Bonny,7,0,0,0,0,1,0,0,0,0
A,Charpentier,5.5,0,0,0,0,0,0,0,0,0
A,Kowalski,6,0,0,0,0,0,0,0,0,0
P,Milinkovic-Savic V.,6.5,0,0,0,0,0,0,0,0,0
D,Masina,7,0,0,0,0,0,0,0,0,1
D,Walukiewicz,6,0,0,0,0,0,0,0,0,0
D,Lazaro,5.5,0,0,0,0,0,0,1,0,0
D,Vojvoda,5.5,0,0,0,0,0,0,1,0,0
D,Pedersen,6,0,0,0,0,0,0,1,0,0
D,Coco,7,1,0,0,0,0,0,0,0,0
D,Sosa B.,5.5,0,0,0,0,0,0,0,0,0
D,Dembele' A.,6,0,0,0,0,0,0,0,0,0
C,Linetty,6,0,0,0,0,0,0,1,0,0
C,Tameze,6,0,0,0,0,0,0,0,0,0
C,Ilic,6,0,0,0,0,0,0,0,0,0
C,Ricci S.,6.5,0,0,0,0,0,0,0,0,0
A,Sanabria,6,0,0,0,0,0,0,0,0,0
A,Zapata D.,6,0,0,0,0,0,0,0,0,0
A,Adams C.,5.5,0,0,0,0,0,0,0,0,0
P,Joronen,6.5,0,1,0,0,0,0,0,0,0
D,Zampano,6.5,0,0,0,0,0,0,0,0,0
D,Candela,6,0,0,0,0,0,0,0,0,0
D,Altare,5.5,0,0,0,0,0,0,1,0,0
D,Svoboda,5.5,0,0,0,0,0,0,0,0,0
D,Idzes,7,0,0,0,0,0,0,0,0,0
D,Sverko,6,0,0,0,0,0,0,0,0,0
C,Duncan,6.5,0,0,0,0,0,0,1,0,0
C,Nicolussi Caviglia,6.5,0,0,0,0,0,0,0,0,0
C,Ellertsson,6,0,0,0,0,0,0,0,0,0
C,Oristanio,6,0,0,0,0,0,0,0,0,0
C,Doumbia I.,5.5,0,0,0,0,0,0,0,0,0
C,El Haddad,6,0,0,0,0,0,0,0,0,0
A,Pohjanpalo,5.5,0,0,0,0,0,0,0,0,0
A,Raimondo,6,0,0,0,0,0,0,0,0,0
A,Gytkjaer,5.5,0,0,0,0,0,0,0,0,0
