Ruolo,Calciatore,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
P,Carnesecchi,6,0,4,0,0,0,0,0,0,0
D,Zappacosta,4.5,0,0,0,0,0,0,0,0,0
D,Toloi,5.5,0,0,0,0,0,0,0,0,0
D,Djimsiti,4.5,0,0,0,0,0,1,0,0,0
D,Bellanova,5.5,0,0,0,0,0,0,0,0,0
D,Ruggeri,5.5,0,0,0,0,0,0,0,0,0
D,Palestra,6,0,0,0,0,0,0,0,0,0
C,De Roon,5,0,0,0,0,0,0,1,0,0
C,Pasalic,5,0,0,0,0,0,0,0,0,0
C,Brescianini,5,0,0,0,0,0,0,0,0,0
C,Samardzic,5.5,0,0,0,0,0,0,0,0,0
C,Ederson D.s.,5,0,0,0,0,0,0,0,0,0
A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
A,Retegui,5,0,0,0,0,0,0,1,0,0
P,Skorupski,6.5,0,1,0,0,0,0,0,0,0
D,De Silvestri,6,0,0,0,0,0,0,0,0,0
D,Miranda J.,6,0,0,0,0,0,0,0,0,0
D,Lucumi',6,0,0,0,0,0,0,0,0,0
D,Posch,5.5,0,0,0,0,0,0,0,0,0
D,Beukema,6.5,0,0,0,0,0,0,0,0,1
C,Freuler,6,0,0,0,0,0,0,0,0,0
C,Orsolini,5,0,0,0,0,0,0,0,0,0
C,Urbanski,6,0,0,0,0,0,0,0,0,0
C,Aebischer,6,0,0,0,0,0,0,0,0,0
C,Moro N.,5.5,0,0,0,0,0,0,0,0,0
C,Fabbian,7,1,0,0,0,0,0,0,0,0
C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
A,Odgaard,6,0,0,0,0,0,0,0,0,0
A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
A,Dallinga,5.5,0,0,0,0,0,0,0,0,0
P,Scuffet,6,0,1,0,0,0,0,0,0,0
D,Luperto,6.5,0,0,0,0,0,0,0,0,0
D,Palomino,6,0,0,0,0,0,0,0,0,0
D,Mina,5.5,0,0,0,0,0,0,0,0,0
D,Augello,5.5,0,0,0,0,0,0,0,0,0
D,Zappa,5.5,0,0,0,0,0,0,1,0,0
D,Azzi,5.5,0,0,0,0,0,0,0,0,0
C,Viola,5.5,0,0,0,0,0,0,0,0,0
C,Deiola,5.5,0,0,0,0,0,0,0,0,0
C,Marin,5.5,0,0,0,0,0,0,1,0,0
C,Prati,5.5,0,0,0,0,0,0,0,0,0
C,Felici,6,0,0,0,0,0,0,0,0,0
A,Pavoletti,6,0,0,0,0,0,0,0,0,0
A,Lapadula,5.5,0,0,0,0,0,0,1,0,0
A,Piccoli,5,0,0,0,0,0,0,0,0,0
A,Luvumbo,5.5,0,0,0,0,0,0,0,0,0
P,Vasquez D.,6.5,0,1,0,0,0,0,1,0,0
D,Pezzella Giu.,6.5,0,0,0,0,0,0,1,0,1
D,Ismajli,7,0,0,0,0,0,0,0,0,0
D,Viti,5.5,0,0,0,0,0,0,0,0,0
D,Cacace,6,0,0,0,0,0,0,0,0,0
D,Goglichidze,6.5,0,0,0,0,0,0,0,0,0
C,Grassi,6,0,0,0,0,0,0,0,0,0
C,Haas,6,0,0,0,0,0,0,0,0,0
C,Henderson L.,6,0,0,0,0,0,0,1,0,0
C,Gyasi,7,1,0,0,0,0,0,0,0,0
C,Maleh,6,0,0,0,0,0,0,0,0,0
C,Fazzini,6.5,0,0,0,0,0,0,0,0,0
A,Pellegri,5.5,0,0,0,0,0,0,0,0,0
A,Esposito Se.,6,0,0,0,0,0,0,0,0,0
A,Colombo,5.5,0,0,0,0,0,0,0,0,0
A,Solbakken,5,0,0,0,0,0,0,0,0,0
P,Sommer,6.5,0,0,0,0,0,0,0,0,0
D,Dimarco,6.5,0,0,0,0,0,0,0,0,0
D,Acerbi,6.5,0,0,0,0,0,0,0,0,0
D,Bastoni,6.5,0,0,0,0,0,0,0,0,0
D,Darmian,6.5,0,0,0,0,0,0,0,0,0
D,Pavard,6.5,0,0,0,0,0,0,0,0,1
D,Carlos Augusto,6,0,0,0,0,0,0,0,0,0
C,Barella,7.5,1,0,0,0,0,0,0,0,0
C,Calhanoglu,6.5,0,0,0,0,0,0,0,0,0
C,Mkhitaryan,6.5,0,0,0,0,0,0,0,0,1
C,Frattesi,6,0,0,0,0,0,0,0,0,0
C,Asllani,6,0,0,0,0,0,0,0,0,0
A,Martinez L.,6.5,0,0,0,0,0,0,0,0,0
A,Arnautovic,6,0,0,0,0,0,0,0,0,0
A,Thuram,8,2,0,0,0,0,0,0,0,0
A,Taremi,6,0,0,0,0,0,0,0,0,0
P,Provedel,5,0,2,0,0,0,0,0,0,0
D,Hysaj,6,0,0,0,0,0,0,0,0,0
D,Patric,5.5,0,0,0,0,0,0,1,0,0
D,Romagnoli,5.5,0,0,0,0,0,0,0,0,0
D,Marusic,5.5,0,0,0,0,0,0,0,0,0
